year,day,hour,Background NO2,Ozone
2016,3,0,41.36,5.88
2016,4,0,0,0
2016,5,0,7.52,45.08
2016,6,0,5.64,52.92
2016,7,0,9.4,50.96
2016,8,0,15.04,45.08
2016,9,0,15.04,49
2016,10,0,13.16,52.92
2016,11,0,9.4,66.64
2016,12,0,18.8,66.64
2016,13,0,26.32,68.6
2016,14,0,22.56,72.52
2016,15,0,16.92,66.64
2016,16,0,11.28,64.68
2016,17,0,11.28,60.76
2016,18,0,9.4,68.6
2016,19,0,9.4,74.48
2016,20,0,15.04,72.52
2016,21,0,28.2,62.72
2016,22,0,31.96,56.84
2016,23,0,18.8,64.68
2016,24,0,22.56,50.96
2016,25,0,24.44,47.04
2016,26,0,18.8,50.96
2016,27,0,1.88,60.76
2016,28,0,0,0
2016,29,0,0,0
2016,30,0,3.76,47.04
2016,31,0,5.64,41.16
2016,32,0,11.28,31.36
2016,33,0,11.28,31.36
2016,34,0,13.16,29.4
2016,35,0,5.64,33.32
2016,36,0,5.64,37.24
2016,37,0,3.76,37.24
2016,38,0,3.76,37.24
2016,39,0,3.76,37.24
2016,40,0,5.64,41.16
2016,41,0,5.64,41.16
2016,42,0,5.64,43.12
2016,43,0,7.52,43.12
2016,44,0,7.52,41.16
2016,45,0,7.52,45.08
2016,46,0,5.64,45.08
2016,47,0,3.76,43.12
2016,48,0,5.64,43.12
2016,49,0,5.64,41.16
2016,50,0,5.64,39.2
2016,51,0,3.76,43.12
2016,52,0,0,0
2016,53,0,7.52,35.28
2016,54,0,9.4,33.32
2016,55,0,7.52,31.36
2016,56,0,13.16,27.44
2016,57,0,16.92,25.48
2016,58,0,9.4,35.28
2016,59,0,9.4,37.24
2016,60,0,5.64,45.08
2016,61,0,7.52,50.96
2016,62,0,9.4,43.12
2016,63,0,7.52,43.12
2016,64,0,7.52,41.16
2016,65,0,5.64,39.2
2016,66,0,7.52,39.2
2016,67,0,9.4,35.28
2016,68,0,9.4,35.28
2016,69,0,11.28,31.36
2016,70,0,9.4,31.36
2016,71,0,9.4,31.36
2016,72,0,7.52,33.32
2016,73,0,7.52,35.28
2016,74,0,7.52,33.32
2016,75,0,9.4,29.4
2016,76,0,0,0
2016,77,0,0,0
2016,78,0,16.92,15.68
2016,79,0,22.56,7.84
2016,80,0,20.68,9.8
2016,81,0,16.92,17.64
2016,82,0,9.4,29.4
2016,83,0,7.52,37.24
2016,84,0,13.16,39.2
2016,85,0,13.16,50.96
2016,86,0,13.16,56.84
2016,87,0,9.4,58.8
2016,88,0,5.64,49
2016,89,0,7.52,45.08
2016,90,0,5.64,45.08
2016,91,0,7.52,39.2
2016,92,0,7.52,37.24
2016,93,0,5.64,35.28
2016,94,0,5.64,35.28
2016,95,0,5.64,33.32
2016,96,0,7.52,33.32
2016,97,0,7.52,31.36
2016,98,0,9.4,27.44
2016,99,0,5.64,29.4
2016,100,0,0,0
2016,101,0,5.64,27.44
2016,102,0,9.4,25.48
2016,103,0,5.64,29.4
2016,104,0,9.4,23.52
2016,105,0,7.52,27.44
2016,106,0,11.28,27.44
2016,107,0,15.04,29.4
2016,108,0,24.44,25.48
2016,109,0,26.32,31.36
2016,110,0,31.96,29.4
2016,111,0,13.16,60.76
2016,112,0,13.16,56.84
2016,113,0,7.52,60.76
2016,114,0,5.64,50.96
2016,115,0,5.64,45.08
