Sensor ID,Max of Sensor,Average of Sensor,Number of Exceedances,Average Max Column,Max Value,99.9th Percentile of Sensor,Max of 99.9th Percentile,8 Hour Average of Sensor,8 Hour Max
0,88.36,11.845733934028472,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.640226366624994,54.000347514194175
1,88.36,11.845828734171034,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64111013037499,54.000347514194175
2,88.36,11.845954422985189,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.643501269999994,54.000347514194175
3,88.36,11.846026452935833,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64857956999999,54.000347514194175
4,88.36,11.84604536872068,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.65645883749999,54.000347514194175
5,88.36,11.846024232116864,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.66424848750017,54.000347514194175
6,88.36,11.846011803495859,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.66714136250455,54.000347514194175
7,88.36,11.845861171024813,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.663282950013176,54.000347514194175
8,88.36,11.845595927281465,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.65565881253157,54.000347514194175
9,88.36,11.845322793558552,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64883519881438,54.000347514194175
10,88.36,11.84512367795928,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.6445004064026,54.000347514194175
11,88.36,11.845052596455455,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.642269994365485,54.000347514194175
12,88.36,11.845152868291404,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64136651221259,54.000347514194175
13,88.36,11.845461672453892,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64107561196489,54.000347514194175
14,88.36,11.845938316946302,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64136974523515,54.000347514194175
15,88.36,11.8466638541237,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.642849231989054,54.000347514194175
16,88.36,11.847754626144258,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.646444995423565,54.000347514194175
17,88.36,11.847172192915965,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.63999999999999,54.000347514194175
18,88.36,11.847166576871896,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.63999999999999,54.000347514194175
19,88.36,11.846764355778728,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.63999999999999,54.000347514194175
20,88.36,11.846184656331976,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.63999999999998,54.000347514194175
21,88.36,11.845880023882854,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64004275787499,54.000347514194175
22,88.36,11.845927288996814,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64078621187499,54.000347514194175
23,88.36,11.846121528574406,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64296079749999,54.000347514194175
24,88.36,11.846262512071002,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64831886499998,54.000347514194175
25,88.36,11.846312246253468,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.65785009999999,54.000347514194175
26,88.36,11.846284548971303,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.668534250001564,54.000347514194175
27,88.36,11.846277276981514,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.67313411250925,54.000347514194175
28,88.36,11.846075490534599,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.667779637525484,54.000347514194175
29,88.36,11.845701028488243,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.6574111250557,54.000347514194175
30,88.36,11.84534902415362,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64896354385563,54.000347514194175
31,88.36,11.845140005567092,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.644160840308565,54.000347514194175
32,88.36,11.845149873344358,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64197434781439,54.000347514194175
33,88.36,11.845354836078336,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.641263329883806,54.000347514194175
34,88.36,11.84579814977656,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64125336514915,54.000347514194175
35,88.36,11.84658713217521,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.642517126653445,54.000347514194175
36,88.36,11.847851320782212,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.646146532255294,54.000347514194175
37,88.36,11.84935097366732,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.65113271794557,54.000347514194175
38,88.36,11.847194048196151,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.63999999999999,54.000347514194175
39,88.36,11.847529678423067,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.63999999999999,54.000347514194175
40,88.36,11.847500066229333,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.63999999999999,54.000347514194175
41,88.36,11.846924658614126,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.63999999999999,54.000347514194175
42,88.36,11.846242268561125,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.63999999999999,54.000347514194175
43,88.36,11.846042295067077,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.640420300124994,54.000347514194175
44,88.36,11.846272085665218,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64222687374999,54.000347514194175
45,88.36,11.846560766086869,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64737332124998,54.000347514194175
